Codice_Interno;Descrizione;Produttore;Codice Produttore
0884403;NIPLES MASCHIO CROMATO FAR - 3/8;FAR;5010 38
0884404;NIPLES MASCHIO CROMATO FAR - 1/2;FAR;5010 12
0884405;NIPLES MASCHIO CROMATO FAR - 3/4;FAR;5010 34
0884406;NIPLES MASCHIO CROMATO FAR - 1";FAR;5010 1
0884603;NIPLES FEMMINA CROMATO FAR - 3/8;FAR;5060 38
0884604;NIPLES FEMMINA CROMATO FAR - 1/2;FAR;5060 12
0884605;NIPLES FEMMINA CROMATO FAR - 3/4;FAR;5060 34
0884606;NIPLES FEMMINA CROMATO FAR - 1";FAR;5060 1
088482419;NIPLES DOPPIO MONOCONO CROMATO FAR - 24 x 19;FAR;5110 12
0885004;GOMITO MASCHIO CROMATO FAR - 1/2;FAR;5260 12
0885005;GOMITO MASCHIO CROMATO FAR - 3/4;FAR;5260 34
0885006;GOMITO MASCHIO CROMATO FAR - 1";FAR;5260 1
0885204;GOMITO FEMMINA CROMATO FAR - 1/2;FAR;5310 12
0885205;GOMITO FEMMINA CROMATO FAR - 3/4;FAR;5310 34
0885206;GOMITO FEMMINA CROMATO FAR - 1";FAR;5310 1
088542419;GOMITO DOPPIO MONOCONO CROMATO FAR - 24 x 19;FAR;5360 12
088562419;RACCORDO A TEE CON 3 MONOCONI CROMATO FAR - 24 x 19;FAR;5410 12
0885804;RACCORDO A TEE FEMMINA CON 2 MONOCONI CROMATO FAR - 1/2;FAR;5460 12
0885805;RACCORDO A TEE FEMMINA CON 2 MONOCONI CROMATO FAR - 3/4;FAR;5460 34
0886004;RACCORDO A TEE MASCHIO CON 2 MONOCONI CROMATO FAR - 1/2;FAR;5510 12
0886204;RACCORDO A MURO FEMMINA CROMATO FAR - 1/2;FAR;5555 12
0886205;RACCORDO A MURO FEMMINA CROMATO FAR - 3/4;FAR;5555 34
088640526;NIPLES MASCHIO CROMATO FAR COMPLETO - 3/4 x 26 x 3;FAR;5011 34220218
088640626;NIPLES MASCHIO CROMATO FAR COMPLETO - 1" x 26 x 3;FAR;5011 1220218
088640632;NIPLES MASCHIO CROMATO FAR COMPLETO - 1" x 32 x 3;FAR;5011 1276275
088660526;NIPLES FEMMINA CROMATO FAR COMPLETO - 3/4 x 26 x 3;FAR;5061 34220218
088660626;NIPLES FEMMINA CROMATO FAR COMPLETO - 1" x 26 x 3;FAR;5061 1220218
088660632;NIPLES FEMMINA CROMATO FAR COMPLETO - 1" x 32 x 3;FAR;5061 1276275
088680626;NIPLES DOPPIO CROMATO FAR COMPLETO - 1" x 26 x 3;FAR;5111 1220218
088700626;GOMITO DOPPIO CROMATO FAR COMPLETO - 1" x 26 x 3;FAR;5361 1220218
088700632;GOMITO DOPPIO CROMATO FAR COMPLETO - 1" x 32 x 3;FAR;5361 1276275
088720526;GOMITO MASCHIO CROMATO FAR COMPLETO - 3/4 x 26 x 3;FAR;5261 34220218
088720626;GOMITO MASCHIO CROMATO FAR COMPLETO - 1" x 26 x 3;FAR;5261 1220218
088720632;GOMITO MASCHIO CROMATO FAR COMPLETO - 1" x 32 x 3;FAR;5261 1276275
088740526;GOMITO FEMMINA CROMATO FAR COMPLETO - 3/4 x 26 x 3;FAR;5311 34220218
088740532;GOMITO FEMMINA CROMATO FAR COMPLETO - 3/4 x 32 x 3;FAR;5311 34276275
088740626;GOMITO FEMMINA CROMATO FAR COMPLETO - 1" x 26 x 3;FAR;5311 1220218
088740632;GOMITO FEMMINA CROMATO FAR COMPLETO - 1" x 32 x 3;FAR;5311 1276275
088760626;RACCORDO A TEE CON 3 ATTACCHI CROMATO FAR COMPLETO - 1" x 26 x 3;FAR;5411 1220218
088760632;RACCORDO A TEE CON 3 ATTACCHI CROMATO FAR COMPLETO - 1" x 32 x 3;FAR;5411 1276275
088780526;RACCORDO A TEE FEMMINA CON 2 ATTACCHI FAR COMPLETO - 3/4 x 26 x 3;FAR;5461 34220218
088780532;RACCORDO A TEE FEMMINA CON 2 ATTACCHI FAR COMPLETO - 3/4 x 32 x 3;FAR;546134276275
088780626;RACCORDO A TEE FEMMINA CON 2 ATTACCHI FAR COMPLETO - 1" x 26 x 3;FAR;5461 1220218
088780632;RACCORDO A TEE FEMMINA CON 2 ATTACCHI FAR COMPLETO - 1" x 32 x 3;FAR;54611276275
0888004;MISCELATORE TERMOSTATICO PER IMPIANTI SOLARI FAR - 1/2;FAR;3953 12
0888005;MISCELATORE TERMOSTATICO PER IMPIANTI SOLARI FAR - 3/4;FAR;3953 34
0888006;MISCELATORE TERMOSTATICO PER IMPIANTI SOLARI FAR - 1";FAR;3953 1
0888225;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 2,5;FAR;2006 123425
0888230;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 3,0;FAR;2006 123430
0888235;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 3,5;FAR;2006 123435
0888240;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 4,0;FAR;2006 123440
0888250;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 5,0;FAR;2006 123450
0888260;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 6,0;FAR;2006 123460
0888270;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 7,0;FAR;2006 123470
0888280;VALVOLA DI SICUREZZA PER IMPIANTI SOLARI FAR - 1/2 Bar 8,0;FAR;2006 123480
0888403;VALVOLA SFOGO ARIA PER IMPIANTI SOLARI FAR - 3/8;FAR;2042 38
0888404;VALVOLA SFOGO ARIA PER IMPIANTI SOLARI FAR - 1/2;FAR;2042 12
0888602;VALVOLA DI SICUREZZA COMBINATA PER IMPIANTI SOLARI - 6 BAR 1/2x1/2;FAR;2009 121260
0888604;VALVOLA DI SICUREZZA COMBINATA PER IMPIANTI SOLARI - 6 BAR 3/4x 3/4;FAR;2009 343460
0888805;GRUPPO SOLARE CON DEVIATORE TERMOSTATICO - 3/4;FAR;3092 34
Z158502;ADATTATORE TUBO MULTISTRATO CON CALOTTA CROMATA 17 x 2;FAR;6055 150810
Z158602;ADATTATORE TUBO MULTISTRATO CON CALOTTA GIALLA 16,8 x 2,5;FAR;6054 150200
Z158702;ADATTATORE TUBO MULTISTRATO CON CALOTTA GIALLA 18 x 2;FAR;6054 44191
Z158802;ADATTATORE TUBO MULTISTRATO CON CALOTTA GIALLA 20 x 2,9;FAR;6054 80191
Z158902;ADATTATORE TUBO PLASTICO CON CALOTTA CROMATA 21 x 3,5;FAR;6075 288849
Z159002;ADATTATORE TUBO MULTISTRATO CON CALOTTA CROMATA 21 x 3,5;FAR;6076 2881135
Z164202;RIDUZIONE MASCHIO 3/4 x 30 EUROCONO;FAR;8865 3034EU
11511;PULITORE NERO FUMO FIRE GLASS - 750 ml;FAREN;125750
11513;ACIDO FORTE PER CASSETTE F200 - Lt 1;FAREN;1LV001
11521;SBLOCCANTE MULTIUSO - Ml 400;FAREN;974003NEW
11523;PULITORE ANTICALCARE CITRUS C/NEBULIZZATORE - Ml 750;FAREN;179750
1153202;DISINCROSTANTE PER CEMENTO F400 - Lt 1;FAREN;420001
1153402;DISINCROSTANTE DOPO POSA DECAVILT T - Lt 1;FAREN;4LK001
1153602;PULIFUGHE DECAVILT T - 750 ml;FAREN;4LM750
1153902;DISINCROSTANTE CERAMIC - 750 ml;FAREN;756750
11551;PULITORE IGIENIZZANTE - 400 ml;FAREN;991003
11552;DISGORGANTE ACIDO RAPIDISSIMO MELT - 750 ml;FAREN;708001ITSP
1156002;DISGORGANTE LIQUIDO MELT NO ACID - Lt 1;FAREN;3L5001IT
1156202;DISGORGANTE EFFERVESCENTE IN POLVERE MELT STRONG - Gr 600;FAREN;1YC001IT
0550004;GALLEGGIANTE A 5 COPIGLIE - 1/2;FARG;510/7 1/2
0550006;GALLEGGIANTE A 5 COPIGLIE - 1";FARG;511/2.1
0550007;GALLEGGIANTE A 5 COPIGLIE - 1"1/4;FARG;511/3.11.4
0550008;GALLEGGIANTE A 5 COPIGLIE - 1"1/2;FARG;511/3.11.2
0550804;GALLEGGIANTE OTTONE ATTACCO BASSO - 1/2;FARG;520/BIS.1/2
0551003;GALLEGGIANTE SILENZIOSO IN OTTONE PER CASSETTE 'PUCCI' - 3/8;FARG;514/1 3/8
0551404;GALLEGGIANTE SILENZIOSO REGOLABILE PER ALTE PRESTAZIONI - 1/2;FARG;524/O
0551803;GALLEGGIANTE SAGOMATO - 3/8 per cassetta tonda;FARG;517/1.3/8
0551901;RUBINETTO A GALLEGGIANTE 'GLOBUS' - 3/4;FARG;525/1.3/4
0552006;GALLEGGIANTE CROMATO 'TIPO SICILIA' - 1";FARG;522/2 1
0552104;GALLEGGIANTE SILENZIOSO REGOLABILE CON ASTA PIATTA - 1/2;FARG;523/1.1/2
0552105;GALLEGGIANTE SILENZIOSO REGOLABILE CON ASTA PIATTA - 3/4;FARG;523/1.3/4
0552106;GALLEGGIANTE SILENZIOSO REGOLABILE CON ASTA PIATTA - 1";FARG;523/1.1
0552107;GALLEGGIANTE SILENZIOSO REGOLABILE CON ASTA PIATTA - 1"1/4;FARG;523/2.11/4
0552108;GALLEGGIANTE SILENZIOSO REGOLABILE CON ASTA PIATTA - 1"1/2;FARG;523/2.11/2
0552302;SFERA DENTATA PER GALLEGGIANTE GLOBUS - Ø 150;FARG;533150
0624004;RUBINETTO A VITONE RINASCIMENTO - 1/2 Giallo;FARG;702
0624204;RUBINETTO A VITONE IMPERO - 1/2 Giallo;FARG;708
0624404;RUBINETTO DA INCASSO RINASCIMENTO - 1/2;FARG;714
0624605;EROGATORE CONTINUO CON ROSONE - 3/4 L. 136;FARG;716
0624805;EROGATORE CONTINUO - 3/4 L. 110;FARG;717
0625004;TESTA RINASCIMENTALE A FLUSSO CONTINUO - 1/2 L. 90;FARG;719
0625204;TESTA DI LEONE A FLUSSO CONTINUO - 1/2 L. 100;FARG;722
1480605;FILTRO AUTOPULENTE - 3/4-400 Micron;FARG;600 3/4
1480606;FILTRO AUTOPULENTE - 1"-400 Micron;FARG;600 1
1480607;FILTRO AUTOPULENTE - 1"1/4-400 Micron;FARG;600 11/4
1486504;CARTUCCIA DI RICAMBIO 400 MICRON PER FILTRO AUTOPULENTE - 1/2-3/4 Ø 29;FARG;600/2.1/2.3/4
1486506;CARTUCCIA DI RICAMBIO 400 MICRON PER FILTRO AUTOPULENTE - 1"-1"1/4 Ø 37;FARG;600/2.1.11/4
1486704;CARTUCCIA DI RICAMBIO 100 MICRON PER FILTRO AUTOPULENTE - 1/2-3/4 Ø 29;FARG;600/3.1/2.3/4
10104500;ELEMENTI RADIATORI PROTEO - 500/100 Bianco H.600;FERROLI;ZE1711510C
10104600;ELEMENTI RADIATORI PROTEO - 600/100 Bianco H.700;FERROLI;ZE1711610C
10104700;ELEMENTI RADIATORI PROTEO - 700/100 Bianco H.800;FERROLI;ZE1711710B
10104800;ELEMENTI RADIATORI PROTEO - 800/100 Bianco H.900;FERROLI;ZE1711810C
1015015;VENTILCONVETTORE JOLLY TOP 3V VM - Mod. 150;FERROLI;2C09A30F
1015025;VENTILCONVETTORE JOLLY TOP 3V VM - Mod. 250;FERROLI;2C09A31F
1015035;VENTILCONVETTORE JOLLY TOP 3V VM - Mod. 350;FERROLI;2C09A32F
1015050;VENTILCONVETTORE JOLLY TOP 3V VM - Mod. 500;FERROLI;2C09A33F
1015070;VENTILCONVETTORE JOLLY TOP 3V VM - Mod. 700;FERROLI;2C09A34F
1016002;COMMUTATORE PER INSTALLAZIONE REMOTA A PARETE CMR-N;FERROLI;2CO9A3P0
1016102;COMMUTATORE PER INSTALLAZIONE REMOTA A PARETE - REM-1;FERROLI;2C09A440
1016202;TERMOSTATO CON DISPLAY PER INSTALLAZIONE A BORDO UNITA' - TES FC 3V;FERROLI;C2C09A3L0
1016402;COMMUTATORI A BORDO MACCHINA - CM FC 3V;FERROLI;C09A3M0
1016602;MODULO DI POTENZA 3V - 3V;FERROLI;C09A3M0
1016802;TERMOSTATO EVOLUTO PER INSTALLAZIONE REMOTA A PARETE - TERN-N;FERROLI;2C09A410
1017002;COMANDO MASTER A PARETE - MP;FERROLI;20Z04440
1017202;TERMOSTATO DI CONSENSO - TC;FERROLI;2C09A420
1017402;PIEDINI DI APPOGGIO - FCPW;FERROLI;2C09A3R0
1017602;KIT VALVOLA 3 VIE BATTERIA PRINCIPALE A 3 RANGHI - -;FERROLI;2C09A3Y0
1017802;KIT VALVOLA 3 VIE BATTERIA PRINCIPALE AD 1 RANGO - -;FERROLI;2C09A3Z0
1018002;BACINELLA RACCOLTA CONDENSA - FC;FERROLI;2C09A3X0
1024415;VENTILCONVETTORE SUPER FAN MOD.15;FERROLI;2CP000VF
1024425;VENTILCONVETTORE A PARETE "SUPER FAN" - Mod. 25;FERROLI;2CP000WF
1024435;VENTILCONVETTORE A PARETE "SUPER FAN" - Mod. 35;FERROLI;2CP000XF
1024445;VENTILCONVETTORE A PARETE "SUPER FAN" - Mod. 45;FERROLI;2CP000YF
1024602;VENTILCONVETTORE A PARETE JOLLY UP  MOD.30;FERROLI;2CP0030F
1024604;VENTILCONVETTORE A PARETE JOLLY UP  MOD.35;FERROLI;2CP0031F
1024606;VENTILCONVETTORE A PARETE JOLLY UP  MOD.45;FERROLI;2CP0032F
1043024;CALDAIA CAMERA APERTA DIVATECH D LN - C24 Metano;FERROLI;ODCC4YWA
1043030;CALDAIA CAMERA APERTA DIVATECH D LN - C30 Metano;FERROLI;ODCC6YWA
1043324;CALDAIA A CONDENSAZIONE BLUEHELIX HITECH RRT - C24 Metano;FERROLI;OT4B2AWA
1043328;CALDAIA A CONDENSAZIONE BLUEHELIX HITECH RRT - C28 Metano;FERROLI;OT4B4AWA
1043334;CALDAIA A CONDENSAZIONE BLUEHELIX HITECH RRT - C34 Metano;FERROLI;OT4B7AWA
1043802;CALDAIA MURALE A CONDENSAZIONE KALIS - 24 C MTN;FERROLI;OTPX2AWA
1043803;CALDAIA MURALE A CONDENSAZIONE KALIS - 28 C MTN;FERROLI;OTPX4AWA
1043804;CALDAIA MURALE A CONDENSAZIONE KALIS - 34 C MTN;FERROLI;OTPX7AWA
1045202;KIT COASSIALE PER SCALDINO KONA CON CURVA - 60-100 Cm.100;FERROLI;010040X0
1045302;PARTENZA VERTICALE PER SCALDINO KONA - 80-100;FERROLI;010037X0
1045402;SDOPPIATORE PER SCALDINO KONA - DM. 80-80;FERROLI;010039X0
1045901;KIT DI INSTALLAZIONE SU INVOLUCRO AD INCASSO - -;FERROLI;052675X0
1046002;SCALDINO A GAS PEGASO ECO CAMERA APERTA LOW NOX - LT.11 GPL;FERROLI;GCC1MLAA
1046004;SCALDINO A GAS PEGASO ECO CAMERA APERTA LOW NOX - LT.11 METANO;FERROLI;GCC1MKAA
1046006;SCALDINO A GAS PEGASO ECO CAMERA APERTA LOW NOX - LT.14 GPL;FERROLI;GCC1PLAA
1046008;SCALDINO A GAS PEGASO ECO CAMERA APERTA LOW NOX - LT.14 METANO;FERROLI;GCC1PKAA
1046711GP;SCALDINO A GAS SKY ECO CAMERA STAGNA Lt 11 GPL;FERROLI;0DF94KAA
1046711MT;SCALDINO A GAS SKY ECO CAMERA STAGNA Lt 11 Metano;FERROLI;0DF94IAA
1046714GP;SCALDINO A GAS SKY ECO CAMERA STAGNA Lt 14 GPL;FERROLI;0DF95KAA
1046802;SCALDINO A GAS KONA CAMERA A STAGNA - 12 LT GPL;FERROLI;0DK96KAA
1046804;SCALDINO A GAS KONA CAMERA A STAGNA - 12 LT METANO;FERROLI;0DK961AA
1046806;SCALDINO A GAS KONA CAMERA A STAGNA - 15 LT GPL;FERROLI;0DK95KAA
1046808;SCALDINO A GAS KONA CAMERA A STAGNA - 15 LT METANO;FERROLI;0DK95IAA
1046810;SCALDINO A GAS KONA CAMERA A STAGNA - 17 LT GPL;FERROLI;0DK97KAA
1046812;SCALDINO A GAS KONA CAMERA A STAGNA - 17 LT METANO;FERROLI;0DK97IAA
10476;SDOPPIATORE PER SCALDINO FERROLI - Ø 80/80;FERROLI;010031X0
10487;KIT COASSIALE ORIZZONTALE PER SCALDINI FERROLI - Con curva 60-100;FERROLI;010012X0
10489;KIT MOBILETTO A PARETE PER ESTERNO - -;FERROLI;016090X0
10492;CURVA COASSIALE 90° FLANGIATA PER CONDENSAZIONE - 60 - 100;FERROLI;041084X0
10495;PARTENZA VERTICALE PER CALDAIE A CONDENSAZIONE - 60/100;FERROLI;041083X0
10497;SDOPPIATORE COMPATTO FERROLI - 80 - 80;FERROLI;041082X0
10498;KIT INVOLUCRO INCASSO PER ESTERNO - -;FERROLI;016089X0
10499;KIT RUBINETTI PER CALDAIE BLUEHELIX TECH E PRO ALPHA - -;FERROLI;012043W0
10501;SDOPPIATORE PER CALDAIE 'FERROLI' - Ø 80/80;FERROLI;041039X0
10509;SDOPPIATORE PER CALDAIE FERROLI TRADIZIONALI - Ø 80/80;FERROLI;010011X0
1051625M;CALDAIA A CONDENSAZIONE BLUEHELIX TOP RRT K50 CON ACCUMULO - 25 K 50 Mtn;FERROLI;OT3T2AWA
1051634M;CALDAIA A CONDENSAZIONE BLUEHELIX TOP RRT K50 CON ACCUMULO - 34 K 50 Mtn;FERROLI;OT3T3AWA
10561;SONDA ESTERNA - -;FERROLI;013018X0
10563;TRONCHETTO FLANGIATO TIPO FERROLI - Ø 60/100 alluminio;FERROLI;010006X0
10565;KIT IDRAULICO MOD. B PER BLUEHELIX PRO S - -;FERROLI;052005X0
10566;KIT ANTIGELO AUSILIARIO PER CALDAIE - Fino a -15°;FERROLI;013022X0
10567;KIT ANTIGELO AUSILIARIO PER SCALDINI - Fino a -15°C;FERROLI;013009XO
10586;CURVA COASSIALE 90° PER TERMINALE - 60/100;FERROLI;041001X0
10587;ATTACCO COASSIALE VERTICALE PER TERMINALE - 60/100;FERROLI;041002X0
10588;TERMINALE COASSIALE L=1000 - 60/100 - L=1000;FERROLI;1KWMA56W
1066002;COMANDO REMOTO MODULANTE ROMEO N SETTIMANALE;FERROLI;013032XA
10670;COMANDO REMOTO A FILI CRONO REM - Settimanale;FERROLI;013114XA
1067302;CRONOCOMANDO REMOTO MODULANTE ROMEO N - Settimanale;FERROLI;013032XA
1067702;COMANDO REMOTO CONNECT MODULANTE WI-FI - Evoluto;FERROLI;0103010XA
5028009;UNITA' ESTERNA GIADA - 9000 Btu;FERROLI;2CP001HF
5028012;UNITA' ESTERNA GIADA - 12000 Btu;FERROLI;2CP001IF
5028018;UNITA' ESTERNA GIADA - 18000 Btu;FERROLI;2CP001JF
5028024;UNITA' ESTERNA GIADA - 24000 Btu;FERROLI;2CP001KF
5028209;UNITA' INTERNA GIADA - 9000 Btu;FERROLI;2CP001LF
5028212;UNITA' INTERNA GIADA - 12000 Btu;FERROLI;2CP001MF
5028218;UNITA' INTERNA GIADA - 18000 Btu;FERROLI;2CP001NF
5028224;UNITA' INTERNA GIADA - 24000 Btu;FERROLI;2CP001OF
5028418;UNITA' ESTERNA MULTISPLIT GIADA - Dual 18-2;FERROLI;2CP0001PF
5028427;UNITA' ESTERNA MULTISPLIT GIADA - Trial 27-3;FERROLI;2CP0001RF
5040007;POMPA DI CALORE MONOBLOCCO RVL-I PLUS 6;FERROLI;2C09701F
5040009;POMPA DI CALORE MONOBLOCCO RVL-I PLUS 8;FERROLI;2C09705F
5040012;POMPA DI CALORE MONOBLOCCO RVL-I PLUS 10;FERROLI;2C09706F
5040016;POMPA DI CALORE MONOBLOCCO RVL-I PLUS 12;FERROLI;2C09708F
5040204;POMPA DI CALORE MONOBLOCCO OMNIA M 3.2 - 4,20 Kw - Mod.4;FERROLI;2CP000AF
5040206;POMPA DI CALORE MONOBLOCCO OMNIA M 3.2 - 6,35 Kw - Mod. 6;FERROLI;2CP0008F
5040208;POMPA DI CALORE MONOBLOCCO OMNIA M 3.2 - 8,40 Kw - Mod. 8;FERROLI;2CP000CF
5040210;POMPA DI CALORE MONOBLOCCO OMNIA M 3.2 - 10,00 Kw - Mod.10;FERROLI;2CP000DF
5040212;POMPA DI CALORE MONOBLOCCO OMNIA M 3.2 - 12,10 Kw - Mod.12;FERROLI;2CP000EF
5040402;SISTEMA IBRIDO OMNIA S HYBRID C - 6,35 KW;FERROLI;OXHK6EWA
5040404;SISTEMA IBRIDO OMNIA S HYBRID C - 8,40 KW;FERROLI;OXHK8EWA
5040406;SISTEMA IBRIDO OMNIA S HYBRID C - 10,0 KW;FERROLI;OXHKAEWA
5040602;SISTEMA IBRIDO OMNIA S HYBRID H IN - 8,40 KW;FERROLI;OXHV8KWA
5040604;SISTEMA IBRIDO OMNIA S HYBRID H IN - 10,0 KW;FERROLI;OXHVAKWA
5040802;KIT IDRAULICO HYBRID HIDRO - Senza Circolatore;FERROLI;042092XO
5040804;KIT IDRAULICO HYBRID HIDRO - Con Circolatore;FERROLI;042093XO
5041602;COMANDO REMOTO EVOLUTO CONNECT CRP - Display 32";FERROLI;013069XA
5041802;SONDA DI TEMPERATURA MANDATA IMPIANTO - Mt. 10;FERROLI;2CP000NF
5042002;ARMADIO DA INCASSO NON VERNICIATO - -;FERROLI;016092X0
5042202;MOBILETTO VERNICIATO - -;FERROLI;016093X0
5042402;KIT SERBATOIO INERZIALE DA INTERNO - Lt.30;FERROLI;012060W0
5042602;KIT SERBATOIO INERZIALE VERNICIATO - -;FERROLI;012082W0
5042702;KIT INTEGRAZIONE BOLLITORE ACS  -;FERROLI;012086W0
5042802;KIT RESISTENZA PER INTEGRAZIONE BOLLITORE ACS - 1,5 KW;FERROLI;013025XO
8204002;SCALDABAGNO A POMPA DI CALORE EGEA - 90 Lt;FERROLI;2CP0020F
8204004;SCALDABAGNO A POMPA DI CALORE EGEA TECH - 120 Lt;FERROLI;2CP0021F
8204006;SCALDABAGNO A POMPA DI CALORE EGEA TECH - 200 Lt;FERROLI;2CP0024F
8204008;SCALDABAGNO A POMPA DI CALORE EGEA TECH - 260 Lt;FERROLI;2CP0025F
8204202;SCALDABAGNO A POMPA DI CALORE EGEA PREDISPOSTA SOLARE TERMICO 200 Lt;FERROLI;2C0BA06F
8204204;SCALDABAGNO A POMPA DI CALORE EGEA TECH  PREDISPOSTA SOLARE TERMICO - 200 Lt;FERROLI;2CP0026F
8204206;SCALDABAGNO A POMPA DI CALORE EGEA TECH PREDISPOSTA SOLARE TERMICO - 260 Lt;FERROLI;2CP0027F
8204402;KIT COPERTURA EGEA LT solo mod.90-120;FERROLI;016094X0
8205004;SCALDACQUA ELETTRICO COMPATTO A DOPPIO SERBATOIO - 50 LT 5/ANNI;FERROLI;GRZ54DKA
8205006;SCALDACQUA ELETTRICO COMPATTO A DOPPIO SERBATOIO - 80 LT 5/ANNI;FERROLI;GRZ56JKA
8205008;SCALDACQUA ELETTRICO COMPATTO A DOPPIO SERBATOIO - 100 LT 5/ANNI;FERROLI;GRZ57JKA
9013002;KIT SOLAREVO NAT CIRCOLAZIONE NATURALE - 160/2,1 Tetto piano;FERROLI;0XGN12XA
9013004;KIT SOLAREVO NAT CIRCOLAZIONE NATURALE - 160/2,1 Tetto inclinato;FERROLI;0XGN15XA
9013006;KIT SOLAREVO NAT CIRCOLAZIONE NATURALE - 200/2,1 Tetto piano;FERROLI;0XGN13XA
9013008;KIT SOLAREVO NAT CIRCOLAZIONE NATURALE - 200/2,1 Tetto inclinato;FERROLI;0XGN16XA
9013010;KIT SOLAREVO NAT CIRCOLAZIONE NATURALE - 300/5,2 Tetto piano;FERROLI;0XGN54XA
9013012;KIT SOLAREVO NAT CIRCOLAZIONE NATURALE - 300/5,2 Tetto inclinato;FERROLI;0XGN57XA
9013202;KIT MONOBLOCCO CIRCOLAZIONE FORZATO - 200 H;FERROLI;0XGU1MXA
9013204;KIT MONOBLOCCO CIRCOLAZIONE FORZATO - 300 H;FERROLI;0XGU2NXA
9013402;COLLETTORE SOLARE V - 2,1;FERROLI;0XGF1VWA
9013404;COLLETTORE SOLARE V - 2,6;FERROLI;0XGF2VWA
9013602;COLONNA SOLARE -;FERROLI;0X2031XA
9014002;TELAIO DI MONTAGGIO PER TETTO INCLINATO - 1 collettore;FERROLI;076239X0
9014004;TELAIO DI MONTAGGIO PER TETTO INCLINATO - 2 collettori;FERROLI;076240X0
9014202;TELAIO DI MONTAGGIO PER TETTO PIANO - 1 collettore;FERROLI;076235X0
9014204;TELAIO DI MONTAGGIO PER TETTO PIANO - 2 collettori;FERROLI;076236X0
9014402;RESISTENZA ELETTRICA PER KIT MONOBLOCCO - 2 Kw;FERROLI;073107XO
9014602;KIT RESISTENZA ELETTRICA + TERMOSTATO - 1,5 Kw;FERROLI;073109XO
Z130502;POMPA DI CALORE OMNIA M 3.2 14 Kw Monofase;FERROLI;2CP000FF
Z156902;SCALDACQUA ELETTRICO COMPATTO A DOPPIO SERBATOIO - 30 LT 5/ANNI;FERROLI;GRZ52DKA
Z158002;KIT RESISTENZA + TERMOSTATO;FERROLI;398I2820
Z165502;POMPA DI CALORE OMNIA M 3.2 30 KW TRIFASE;FERROLI;2CP100SF
Z166002;CALDAIA ELETTRICA TOR 9 KW;FERROLI;GCMO10EA
25300;MONOCOMANDO VASCA SERIE 18 - Cromo;FIMA FRATELLI FRATTINI;F3284CR
25302;MONOCOMANDO LAVABO SERIE 18 - Cromo;FIMA FRATELLI FRATTINI;F3281CR
25304;MONOCOMANDO BIDET SERIE 18 - Cromo;FIMA FRATELLI FRATTINI;F3282CR
25306;MONOCOMANDO DOCCIA INCASSO SERIE 18 - Cromo;FIMA FRATELLI FRATTINI;F3283CR
25307;MONOCOMANDO DOCCIA ESTERNO SERIE 18 - Cromo;FIMA FRATELLI FRATTINI;F3295/1CR
25308;MONOCOMANDO DOCCIA INCASSO CON DEVIATORE SERIE 18 - Cromo;FIMA FRATELLI FRATTINI;F3289CR.ECO
25310;MONOCOMANDO VASCA NEXT - Cromo;FIMA FRATELLI FRATTINI;F3934CR
25312;MONOCOMANDO LAVABO NEXT - Cromo;FIMA FRATELLI FRATTINI;F3941N.CR.AS
25314;MONOCOMANDO BIDET NEXT - Cromo;FIMA FRATELLI FRATTINI;F3942N.CR.AS
25316;MONOCOMANDO DOCCIA INCASSO NEXT - Cromo;FIMA FRATELLI FRATTINI;F3953CR
25320;MONOCOMANDO VASCA SERIE 2 Cromo;FIMA FRATELLI FRATTINI;F3204CR
25322;MONOCOMANDO LAVABO SERIE 2 Cromo;FIMA FRATELLI FRATTINI;F3201CR
25324;MONOCOMANDO BIDET SERIE2 Cromo;FIMA FRATELLI FRATTINI;F3202CR
25326;MONOCOMANDO DOCCIA INCASSO SERIE 2 Cromo;FIMA FRATELLI FRATTINI;F3203CR
25328;MONOCOMANDO DOCCIA INCASSO CON DEVIATORE SERIE 2 Cromo;FIMA FRATELLI FRATTINI;F3209CR.ECO
2533002;CARTUCCIA DI RICAMBIO F04 - Mod.2036/1;FIMA FRATELLI FRATTINI;F2036/1
2533102;CARTUCCIA DI RICAMBIO F05 - Mod.2036/G;FIMA FRATELLI FRATTINI;F2036/G
2533202;CARTUCCIA DEVIATRICE D01 - Mod.2669;FIMA FRATELLI FRATTINI;F2669
2533402;CARTUCCIA DI RICAMBIO F05 - Mod.2274;FIMA FRATELLI FRATTINI;F2274
2533505;CARTUCCIA DI RICAMBIO F06 - Mod.2629;FIMA FRATELLI FRATTINI;F2629
25339;CARTUCCIA DI RICAMBIO F01 - MOD.2001;FIMA FRATELLI FRATTINI;F2001
2534102;Cartuccia di ricambio per vasca next F2224 - -;FIMA FRATELLI FRATTINI;F2224
